mmsi,ts,time_bin,lat,lon,speed,course
412330264,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.508348,119.763795,6.7,303.7
412330327,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.37236,119.679472,7.0,327.1
412330333,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,35.455267,119.857307,7.4,272.0
412330336,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.443378,119.771193,7.0,285.8
412330344,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,35.451413,119.776458,7.4,273.3
412330361,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.364562,119.695383,6.6,288.4
412330363,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.440713,119.788473,8.2,272.0
412330382,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.283142,119.688575,8.2,258.4
412330810,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.014317,120.214415,0.0,150.5
412331634,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.038175,120.378857,6.2,285.7
412331960,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.040618,120.225088,0.0,0.0
412332094,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.474658,119.68833,0.3,320.8
412332096,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.3861,119.741757,2.8,26.8
412332104,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,35.507545,119.630488,5.6,44.4
412332211,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.442935,119.77201,7.6,286.4
412332244,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.450323,119.837868,8.0,276.8
412332348,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.5353,119.721745,6.5,308.9
412332815,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.121008,119.923255,8.3,258.6
412333003,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.00298,119.672195,4.3,269.4
412333333,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.115288,121.90039,9.4,322.4
412333336,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.584615,121.186967,6.1,92.9
412333347,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.155262,119.856593,4.2,197.1
412333532,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.259982,121.468868,4.4,5.6
412337139,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.961625,121.756342,0.7,137.6
412337158,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.934447,121.835653,3.4,19.6
412337266,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.26039,121.524358,0.5,234.3
412337433,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.615052,121.681735,1.5,222.2
412337598,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,36.203867,121.342888,0.7,329.2
412337628,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,36.499443,121.782935,8.7,338.3
412338101,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.3606,121.181788,1.6,210.4
412338183,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,36.543412,121.311842,5.3,123.8
